key	l1_num	l2_num	activity_num	activity_item_num	l1_topic	l2_topic	activity	item
1.01.A05.06	1	1	5	6	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Junior Secondary Education	Age-appropriate sexual and reproductive health education.
1.01.A05.07	1	1	5	7	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Junior Secondary Education	Development of attitudes towards culture, environmentalism, and nature conservation.
1.01.A05.08	1	1	5	8	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Junior Secondary Education	Programs that provide experience in innovation.
1.01.A06.01	1	1	6	1	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Senior secondary education	The opportunity for students to select between general streams such as science, arts, commerce, and technology or vocational education (directly applicable to a career) based on the results of the national level examination conducted in the ninth year and school-based continuous assessment reports.
1.01.A06.02	1	1	6	2	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Senior secondary education	Flexible curriculum allowing students to switch from one stream to another during their senior secondary (lower) education.
1.01.A06.03	1	1	6	3	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Senior secondary education	Subjects specific to education streams and common subjects that will foster general skills such as technological literacy, languages, life skills, literature, and basic law.
1.01.A06.04	1	1	6	4	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Senior secondary education	A learning environment that trains children to work while accommodating and respecting cultural diversity
1.01.A06.05	1	1	6	5	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Senior secondary education	Development of knowledge and practical skills required for innovation, life skills, and social contribution.
1.01.A06.06	1	1	6	6	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Senior secondary education	Programs to maintain the physical and emotional balance of children.
1.01.A06.07	1	1	6	7	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Senior secondary education	Sexual and reproductive health education tailored for youth
1.01.A06.08	1	1	6	8	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Senior secondary education	Understanding of access to legal counselling services and other social support systems when necessary.
1.01.A07.01	1	1	7	1	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	National level assessments	A National Examination Evaluation Center with all technological and physical facilities.
1.01.A07.02	1	1	7	2	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	National level assessments	An annual school calendar to ensure national examination evaluation activities are completed within one month and results are provided within two months.
1.01.A07.03	1	1	7	3	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	National level assessments	A payment system that reflects the intellectual contribution of examiners involved in the examination evaluation process.
1.01.A07.04	1	1	7	4	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	National level assessments	Regularize and broaden the scope of the National Institute of Education for curriculum development, professional development of teachers and educational research & policy formulations.
1.01.A07.05	1	1	7	5	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	National level assessments	A fully equipped Curriculum Development Unit for curriculum development within the National Institute of Education.
1.01.A08.01	1	1	8	1	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Development and maintenance of human resources	Eliminate teacher and principal pay disparity promptly.
1.01.A08.02	1	1	8	2	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Development and maintenance of human resources	Establish a teacher service constitution and a teacher council.
1.01.A08.03	1	1	8	3	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Development and maintenance of human resources	Position the teaching profession among the 10 highest-paying professions.
1.01.A08.04	1	1	8	4	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Development and maintenance of human resources	One year of professional training in the teaching-learning process before entering the teaching profession.
1.01.A08.05	1	1	8	5	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Development and maintenance of human resources	Establish a National University of Education by merging all Colleges of Education and Teacher Training Colleges.
1.01.A08.06	1	1	8	6	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Development and maintenance of human resources	Conduct training programs every three years.
1.01.A08.07	1	1	8	7	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Development and maintenance of human resources	Create a coordination structure between institutions to ensure that curriculum development, textbook development, and assessment processes are linked and maintained.
1.01.A08.08	1	1	8	8	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Development and maintenance of human resources	Establish a strong structure within the school system to address sexual or other forms of violence faced by all communities.
1.01.A09.01	1	1	9	1	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Vocational Education	A vocational education process that directs students toward specific fields of employment by acquiring practical knowledge in general professional areas.
1.01.A09.02	1	1	9	2	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Vocational Education	Parallel to the general education stream, a vocational education stream from year 10 to year 13, preparing students to work in fields such as construction and infrastructure, creative industries, primary industries, service industries, social and community services, and manufacturing and technology.
1.01.A09.03	1	1	9	3	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Vocational Education	A Vocational Education Regulatory Department consisting of professionals to advise on the qualitative and quantitative changes needed in the vocational education sector, considering job market demands and global trends.
1.01.A12.01	1	1	12	1	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	While respecting the freedom of universities, University Grants Commission (UGC) guides the preparations of academic courses in line with national policies.
1.01.A12.02	1	1	12	2	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Appointing the Chairman and other members of the UGC ensuring representation of social diversity.
1.01.A12.03	1	1	12	3	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Instead of appointing vice-chancellors based on political connections, a new method will be implemented to uphold the honour of universities
1.01.A12.04	1	1	12	4	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Appoint independent individuals as external governing council members of universities by the University Grants Commission.
1.01.A12.05	1	1	12	5	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Members of governing councils of universities to ensure diverse professional fields and gender representation.
1.01.A12.06	1	1	12	6	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	A pool of commonly recommended names from recognized professional bodies for appointing Council members.
1.01.A12.07	1	1	12	7	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Appointing a retired person from a university to the governing body of that university, with only those retired at least five years ago being considered.
1.01.A12.08	1	1	12	8	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	A student representative elected by students of the respective university to the Governing Body limiting space only for welfare and other student affairs.
1.01.A12.09	1	1	12	9	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Limiting the tenure of a Council member to a maximum of two consecutive terms.
1.01.A12.10	1	1	12	10	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Faculty members who are qualified as Head of Department or Senior Lecturer with at least three years’ experience have the opportunity to be appointed as Dean.
1.01.A12.11	1	1	12	11	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Limiting the term of a dean to a maximum of two consecutive terms.
1.01.A12.12	1	1	12	12	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Abolition of non-academic staff recruitment on the recommendations of the minister in charge.
1.01.A12.13	1	1	12	13	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Mechanisms at faculty and university levels to address academic, non-academic, and student community grievances and make appropriate recommendations.
1.01.A12.14	1	1	12	14	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Eliminating delays in enrolling students to universities.
1.01.A12.15	1	1	12	15	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Gradually expanding the tertiary education system so that minimum qualifications for each course are identified and those who meet these qualifications are given opportunities
1.01.A12.16	1	1	12	16	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Provide necessary provisions to prepare internet facilities in tertiary education institutes, lecture halls, laboratories, libraries, and cafeterias according to proper standards.
1.01.A12.17	1	1	12	17	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Establish special units in every tertiary education institution to provide basic qualifications, including English language skills, required for obtaining post- graduate education in international universities and fostering relationships that will allow students to secure post-graduate opportunities through these units
1.01.A12.18	1	1	12	18	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Offer 200 scholarships per year for high school graduates to pursue degrees at internationally ranked universities.
1.01.A12.19	1	1	12	19	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Implement an integrated mechanism to prevent sexual or other forms of harassment of youth in tertiary education institutions.
1.01.A12.20	1	1	12	20	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Provide facilities for students with disabilities to receive education by recognized international standards.
1.01.A12.21	1	1	12	21	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	State University System	Increasing Mahapola and other bursaries in line with cost of living.
1.01.A13.01	1	1	13	1	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Research and Post-graduate Education	A university for postgraduate research and development.
1.01.A13.02	1	1	13	2	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Research and Post-graduate Education	Provision of necessary financial and physical resources to strengthen postgraduate education and research.
1.01.A13.03	1	1	13	3	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Research and Post-graduate Education	Encourage private sector contributions to strengthen research related to industries and service sectors.
1.01.A14.01	1	1	14	1	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Vocational Education Universities	A vocational education university system for those who pass the tertiary education entrance examination after completing senior secondary education.
1.01.A14.02	1	1	14	2	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Vocational Education Universities	Merge nursing schools into a national nursing university.
1.01.A16.01	1	1	16	1	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Adult Education	Community educatio nal centres in each divisional secretariat area, integrated with local educational institutions, libraries, and cultural centres.
1.01.A16.02	1	1	16	2	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Adult Education	Educational programs for citizens on fundamental laws in Sinhala, Tamil, and English, as well as on information technology and the use of technological tools.
1.02.A01.01	1	2	1	1	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Effective Health Service Management	Gradually increase government expenditure on health to at least 3% of the GDP within a short period.
1.02.A01.02	1	2	1	2	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Effective Health Service Management	Utilize funds efficiently and transparently while actively combating corruption in the health sector.
1.02.A02.01	1	2	2	1	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Digital Health	Digitize patient records and information to enhance the effectiveness and efficiency of the health services information system.
1.02.A02.02	1	2	2	2	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Digital Health	Implement online registration for medical appointments to minimize waiting times at health services institutions.
1.02.A06.01	1	2	6	1	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Elderly Care	Implement a comprehensive package of activities to promote physical and mental well-being, ensuring a healthy life for the elderly population.
1.02.A06.02	1	2	6	2	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Elderly Care	Provide guidance and conduct counselling programs before retirement to maintain physical and mental health.
1.02.A06.03	1	2	6	3	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Elderly Care	Introduce specialized geriatric clinics in disease prevention institutions for elderly care.
1.02.A09.01	1	2	9	1	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Specialized care	An extended cardiology unit, oncology unit, ophthalmic unit and nephrology unit with facilities in each district/province.
1.02.A10.01	1	2	10	1	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Patients Safety	Introduce a patient charter to ensure accountability of health workers and protect patients’ rights.
1.02.A10.02	1	2	10	2	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Patients Safety	Ensure quality health services to achieve “zero preventable deaths. ”
1.02.A10.03	1	2	10	3	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Patients Safety	Establish a service feedback unit to investigate complaints from patients and caregivers independently.
1.02.A12.01	1	2	12	1	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Provision of essential Drugs	Establish an efficient pharmaceutical testing laboratory to ensure drug safety.
1.02.A12.02	1	2	12	2	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Provision of essential Drugs	Expand local pharmaceutical production.
1.02.A12.03	1	2	12	3	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Provision of essential Drugs	Eliminate corruption and fraud during the import and distribution of medicines.
1.02.A12.04	1	2	12	4	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Provision of essential Drugs	Ensure the continuous supply of all essential medicines to public health institutions.
1.02.A12.05	1	2	12	5	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Provision of essential Drugs	Ensure the quality and fair pricing of medicines.
1.02.A12.06	1	2	12	6	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Provision of essential Drugs	Prevent drug shortages by maintaining adequate stock levels.
1.02.A12.07	1	2	12	7	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Provision of essential Drugs	Establish government-owned pharmacies in every town.
1.02.A13.01	1	2	13	1	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Mental Health Care	Establish a mechanism for early detection of mental health disorders and referral for specialized care.
1.02.A13.02	1	2	13	2	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Mental Health Care	Set up Primary Mental Health Care Centres in every Medical Officer of Health (MOH) area.
1.02.A13.03	1	2	13	3	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Mental Health Care	Implement programs to promote mental health among children and adolescents, focusing on preventing substance abuse and violence.
1.02.A13.04	1	2	13	4	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Mental Health Care	Promote community-based programs for treatment, follow-up, and family therapy for patients with mental disorders.
1.02.A14.01	1	2	14	1	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Rehabilitation Care	Rehabilitation centers in every district.
1.02.A14.02	1	2	14	2	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Rehabilitation Care	Provide community-based rehabilitation services, either within the patients’ own environment or in specialized centers.
1.02.A15.01	1	2	15	1	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Palliative care (Sahana Sathkara seva)	Provide home-based and institution-based palliative care services for patients with incurable diseases, including cancer and stroke.
1.02.A16.01	1	2	16	1	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Oral Health Services	Implement special oral health promotion programs aimed at reducing Early Childhood Caries (ECC) among preschool children.
1.02.A17.01	1	2	17	1	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Estate sector Health services	Develop special programs targeting nutrition, oral health, tuberculosis control, and the prevention of alcohol, tobacco, and other substance abuse, along with health promotion for youth in plantation communities.
1.02.A18.01	1	2	18	1	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Indigenous Health care services	Strengthen the administration and management of Ayurvedic hospitals to expand medical treatments in Ayurveda, Siddha Ayurveda, and Unani.
1.02.A18.02	1	2	18	2	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Indigenous Health care services	Enhance Ayurvedic/Unani/Siddha laboratories to ensure uninterrupted production of medicines.
1.02.A18.03	1	2	18	3	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Indigenous Health care services	Increase the treatment capacity of Ayurvedic hospitals, including the number of available beds.
1.02.A18.04	1	2	18	4	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Indigenous Health care services	Expand the training system affiliated with Ayurvedic hospitals.
1.02.A18.05	1	2	18	5	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Indigenous Health care services	Promote cultivation and research to support the production of indigenous medicines.
1.02.A18.06	1	2	18	6	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Indigenous Health care services	Provide state support for new research on traditional treatment methods and medicines.
1.02.A20.01	1	2	20	1	A fulfilling life - A comfortable country	A vigorous life - Healthy people	Private medical service	Regulate all health services, including private medical services, to ensure the delivery of high-quality healthcare to patients.
1.05.A01.01	1	5	1	1	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Literature	Distributing critically acclaimed publications that are appreciated and recognized at a national level to school and public libraries.
1.05.A01.02	1	5	1	2	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Literature	Establishing well-developed libraries in every city and suburb to cultivate an active reading community.
1.05.A01.03	1	5	1	3	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Literature	Reviving a literary magazine culture dedicated to literary criticism and appreciation.
1.05.A01.04	1	5	1	4	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Literature	Encouraging authors and publishers to organize national and regional book fairs and participate in prominent international book fairs.
1.05.A01.05	1	5	1	5	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Literature	Fostering a new generation of readers by organizing literary appreciation workshops for schoolteachers and students.
1.05.A01.06	1	5	1	6	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Literature	Promoting the translation of outstanding world literature into Sinhala and Tamil and supporting those involved in such translations.
1.05.A01.07	1	5	1	7	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Literature	Modernizing and reorganizing the National Archives by providing latest technological advancements.
1.05.A01.08	1	5	1	8	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Literature	Supporting the management of digital knowledge repositories for e-publications and digital libraries affiliated with educational and research centers.
1.05.A01.09	1	5	1	9	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Literature	Establishing a research fund for the literary arts sector, systematically providing resources for research, and organizing annual international research sessions.
1.05.A02.01	1	5	2	1	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Film and Tele Drama	Reforming the National Film Corporation and establishing a National Film Institute.
1.05.A02.02	1	5	2	2	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Film and Tele Drama	Modernizing cinema halls with an organized plan and ensuring that each district has three cinemas.
1.05.A02.03	1	5	2	3	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Film and Tele Drama	Standardizing loans and other assistance for film and tele drama production.
1.05.A02.04	1	5	2	4	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Film and Tele Drama	Ensuring fair and organized distribution of every cinematic work by following a systematic categorization .
1.05.A02.05	1	5	2	5	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Film and Tele Drama	Establishing a classification board for film and television works to standardize content.
1.05.A02.06	1	5	2	6	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Film and Tele Drama	Hosting an annual international film festival and supporting submissions to international festivals.
1.05.A02.07	1	5	2	7	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Film and Tele Drama	Utilizing multi-purpose cultural centers to screen outstanding films and organizing discussions based on these screenings.
1.05.A02.08	1	5	2	8	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Film and Tele Drama	Establishing a National Film and Television Study Institute for emerging filmmakers and creating a National Film Archive.
1.05.A02.09	1	5	2	9	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Film and Tele Drama	Facilitating the reformation and integration of existing private film archives into a national archive network.
1.05.A02.10	1	5	2	10	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Film and Tele Drama	Initiating film and television societies at the school level.
1.05.A02.11	1	5	2	11	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Film and Tele Drama	Updating intellectual property laws related to film and television in line with international standards.
1.05.A02.12	1	5	2	12	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Film and Tele Drama	Organizing an annual short film and mobile cinema festival and creating programs to gain knowledge and experience from international festivals.
1.05.A03.01	1	5	3	1	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Theatre	Establishing a National Institute for Research and Training in contemporary theatre arts.
1.05.A03.02	1	5	3	2	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Theatre	Maintaining a National Theatre Archive to systematically collect and preserve scripts, props, memorabilia, and recordings related to old and new theatre productions.
1.05.A03.03	1	5	3	3	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Theatre	Organizing grants and tax relief for theatre production and exhibition.
1.05.A03.04	1	5	3	4	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Theatre	Creating a structured plan to promote theatre from the grassroots level to the national level through a network of multi-purpose cultural centers.
1.05.A03.05	1	5	3	5	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Theatre	Constructing modern theatres with full facilities in every major city and upgrading existing ones to be part of this network.
1.05.A03.06	1	5	3	6	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Theatre	Promoting international scholarships related to theatre arts and organizing their distribution at regional and national levels.
1.05.A03.07	1	5	3	7	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Theatre	Develop programs to enhance appreciation of theatre and promote the concept of open-air theatre spaces.
1.05.A03.08	1	5	3	8	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Theatre	Providing facilities for alternative theatre spaces.
1.05.A04.01	1	5	4	1	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Dance	Involving dance institutions, traditional dance schools and teachers, and veterans in the reform process of dance education.
1.05.A04.02	1	5	4	2	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Dance	Establishing a National Institute dedicated to the preservation and promotion of dance and integrating it with multi-purpose cultural centres.
1.05.A04.03	1	5	4	3	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Dance	Promote research on Sri Lankan folk dances and direct research towards international studies.
1.05.A04.04	1	5	4	4	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Dance	Encouraging traditional dance forms
1.05.A04.05	1	5	4	5	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Dance	Building a network of registered dance institutions.
1.05.A04.06	1	5	4	6	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Dance	Facilitating international study opportunities related to dance and organizing scholarships.
1.05.A04.07	1	5	4	7	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Dance	Identifying and promoting talented dancers from the rural level to the international stage.
1.05.A04.08	1	5	4	8	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Dance	Printing trilingual academic texts on dance and encouraging international knowledge translation into Sinhala and Tamil.
1.05.A04.09	1	5	4	9	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Dance	Providing facilities for the study, research, and preservation of both contemporary and traditional dance forms.
1.05.A05.01	1	5	5	1	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Visual Arts, Sculpture, and Photography	Establishing a National Institute to oversee the preservation, study, and national and international research of past and present visual arts and photography.
1.05.A05.02	1	5	5	2	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Visual Arts, Sculpture, and Photography	Facilitating participation in international conferences and exhibitions for artists.
1.05.A05.03	1	5	5	3	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Visual Arts, Sculpture, and Photography	Setting up regional training centers and guiding these spaces towards professional opportunities.
1.05.A05.04	1	5	5	4	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Visual Arts, Sculpture, and Photography	Promoting national and international markets for the visual arts and integrating them with the tourism industry. Establishing art societies from the school level and organizing competitions.
1.05.A06.01	1	5	6	1	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Music and Song	Establishing a National Institute for the preservation and promotion of musical traditions.
1.05.A06.02	1	5	6	2	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Music and Song	Promoting and preserving research on Sri Lankan folk music.
1.05.A06.03	1	5	6	3	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Music and Song	Providing opportunities for the systematic study and research of preserved knowledge.
1.05.A06.04	1	5	6	4	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Music and Song	Building a network of registered music institutions.
1.05.A06.05	1	5	6	5	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Music and Song	Revising and updating intellectual property laws related to music and song creation.
1.05.A06.06	1	5	6	6	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Music and Song	Facilitating international study and research opportunities in music and organizing scholarships.
1.05.A06.07	1	5	6	7	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Music and Song	Maintaining a digital unit for preserving the original copies of every recorded song and musical creation.
1.05.A06.08	1	5	6	8	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Music and Song	Securing the intellectual property rights of authors and composers by obtaining membership in collective management organizations in the music sector.
